datetime,temp
2018-08-14T12:19:00.303868,29.50
2018-08-14T12:19:03.209507,29.50
2018-08-14T12:19:06.132919,29.50
2018-08-14T12:19:09.032417,29.50
2018-08-14T12:19:11.937315,29.40
2018-08-14T12:19:14.841147,29.50
2018-08-14T12:19:17.756601,29.50
2018-08-14T12:19:20.664788,29.50
2018-08-14T12:19:23.584642,29.40
2018-08-14T12:19:26.506808,29.40
2018-08-14T12:19:29.411383,29.40
2018-08-14T12:19:32.327830,29.40
2018-08-14T12:19:35.236247,29.40
2018-08-14T12:19:38.151572,29.40
2018-08-14T12:19:41.053827,29.40
2018-08-14T12:19:43.971791,29.40
2018-08-14T12:19:46.884956,29.40
2018-08-14T12:19:49.787666,29.40
2018-08-14T12:19:52.691344,29.40
2018-08-14T12:19:55.601210,29.40
2018-08-14T12:19:58.501743,29.40
2018-08-14T12:20:01.405433,29.40
2018-08-14T12:20:04.314272,29.40
2018-08-14T12:20:07.221990,29.40
2018-08-14T12:20:10.126120,29.40
2018-08-14T12:20:11.129966,29.40
2018-08-14T12:20:14.034219,29.40
2018-08-14T12:20:16.941831,29.50
2018-08-14T12:20:19.846083,29.50
2018-08-14T12:20:22.754379,29.50
2018-08-14T12:20:23.764262,29.50
2018-08-14T12:20:26.666631,29.50
2018-08-14T12:20:29.567313,29.50
2018-08-14T12:20:32.484475,29.50
2018-08-14T12:20:35.391233,29.50
2018-08-14T12:20:38.294900,29.50
2018-08-14T12:20:41.199780,29.50
2018-08-14T12:20:44.108112,29.50
2018-08-14T12:20:47.024618,29.50
2018-08-14T12:20:49.927379,29.50
2018-08-14T12:20:52.847994,29.50
2018-08-14T12:20:55.767647,29.50
2018-08-14T12:20:58.681632,29.50
2018-08-14T12:21:01.587663,29.60
2018-08-14T12:21:04.518942,29.50
2018-08-14T12:21:07.427282,29.50
2018-08-14T12:21:10.320942,29.50
2018-08-14T12:21:13.228644,29.50
2018-08-14T12:21:16.137422,29.50
2018-08-14T12:21:19.050020,29.50
2018-08-14T12:21:21.976814,29.60
2018-08-14T12:21:24.871267,29.60
2018-08-14T12:21:27.788844,29.60
2018-08-14T12:21:30.689203,29.60
2018-08-14T12:21:33.598733,29.50
2018-08-14T12:21:36.514039,29.60
2018-08-14T12:21:39.426286,29.60
2018-08-14T12:21:42.334461,29.60
2018-08-14T12:21:45.226331,29.60
2018-08-14T12:21:48.140271,29.50
2018-08-14T12:21:51.046671,29.60
2018-08-14T12:21:53.966836,29.60
2018-08-14T12:21:56.875630,29.60
2018-08-14T12:21:59.782935,29.60
2018-08-14T12:22:02.702115,29.60
2018-08-14T12:22:05.622429,29.60
2018-08-14T12:22:08.528465,29.60
2018-08-14T12:22:11.449425,29.60
2018-08-14T12:22:14.353660,29.60
2018-08-14T12:22:17.255990,29.60
2018-08-14T12:22:20.182433,29.60
2018-08-14T12:22:23.088455,29.60
2018-08-14T12:22:26.010650,29.60
2018-08-14T12:22:28.935924,29.60
2018-08-14T12:22:31.838641,29.60
2018-08-14T12:22:34.740183,29.60
2018-08-14T12:22:37.652481,29.60
2018-08-14T12:22:40.549922,29.60
2018-08-14T12:22:43.466515,29.60
2018-08-14T12:22:46.380892,29.60
2018-08-14T12:22:49.297585,29.60
2018-08-14T12:22:52.201924,29.60
2018-08-14T12:22:55.097882,29.60
2018-08-14T12:22:58.010158,29.60
2018-08-14T12:23:00.910528,29.60
2018-08-14T12:23:03.817878,29.60
2018-08-14T12:23:06.721579,29.60
2018-08-14T12:23:09.621042,29.60
2018-08-14T12:23:12.530642,29.60
2018-08-14T12:23:15.430204,29.60
2018-08-14T12:23:18.333829,29.60
2018-08-14T12:23:21.243636,29.60
2018-08-14T12:23:24.136490,29.60
2018-08-14T12:23:27.040244,29.60
2018-08-14T12:23:29.942963,29.60
2018-08-14T12:23:32.856991,29.60
2018-08-14T12:23:35.751201,29.60
2018-08-14T12:23:38.663468,29.60
2018-08-14T12:23:41.565804,29.60
2018-08-14T12:23:44.464580,29.60
2018-08-14T12:23:47.371857,29.60
2018-08-14T12:23:50.283503,29.60
2018-08-14T12:23:53.188160,29.60
2018-08-14T12:23:56.080226,29.60
2018-08-14T12:23:58.988816,29.60
2018-08-14T12:24:01.892905,29.60
2018-08-14T12:24:04.799345,29.60
2018-08-14T12:24:07.708190,29.60
2018-08-14T12:24:10.609036,29.60
2018-08-14T12:24:13.510972,29.60
2018-08-14T12:24:16.415132,29.60
2018-08-14T12:24:19.323157,29.60
2018-08-14T12:24:22.230030,29.60
2018-08-14T12:24:25.123130,29.60
2018-08-14T12:24:28.028072,29.60
2018-08-14T12:24:30.939259,29.60
2018-08-14T12:24:33.847359,29.60
2018-08-14T12:24:36.751111,29.50
2018-08-14T12:24:39.652242,29.60
2018-08-14T12:24:42.555728,29.60
2018-08-14T12:24:45.459596,29.60
2018-08-14T12:24:48.352234,29.60
2018-08-14T12:24:51.267941,29.60
2018-08-14T12:24:54.159967,29.60
2018-08-14T12:24:57.059766,29.60
2018-08-14T12:24:59.973815,29.60
2018-08-14T12:25:02.867934,29.60
2018-08-14T12:25:05.774373,29.60
2018-08-14T12:25:08.678170,29.60
2018-08-14T12:25:11.588268,29.60
2018-08-14T12:25:14.495784,29.60
2018-08-14T12:25:17.393174,29.60
2018-08-14T12:25:20.295110,29.60
2018-08-14T12:25:23.199962,29.60
2018-08-14T12:25:26.105573,29.60
2018-08-14T12:25:29.017188,29.60
2018-08-14T12:25:31.908984,29.60
2018-08-14T12:25:34.817772,29.60
2018-08-14T12:25:37.724264,29.60
2018-08-14T12:25:40.623978,29.60
2018-08-14T12:25:43.536931,29.60
2018-08-14T12:25:46.442002,29.60
2018-08-14T12:25:49.333910,29.60
2018-08-14T12:25:52.236862,29.50
2018-08-14T12:25:55.149988,29.50
2018-08-14T12:25:58.045348,29.50
2018-08-14T12:26:00.951154,29.60
2018-08-14T12:26:03.860030,29.50
2018-08-14T12:26:06.758047,29.50
2018-08-14T12:26:09.658314,29.60
2018-08-14T12:26:12.575868,29.50
2018-08-14T12:26:15.479754,29.60
2018-08-14T12:26:18.370327,29.60
2018-08-14T12:26:21.278156,29.50
2018-08-14T12:26:24.181125,29.60
2018-08-14T12:26:27.096794,29.50
2018-08-14T12:26:30.000744,29.60
2018-08-14T12:26:34.794975,29.50
2018-08-14T12:26:37.708179,29.50
2018-08-14T12:26:40.603361,29.50
2018-08-14T12:26:43.503591,29.50
2018-08-14T12:26:46.407909,29.50
2018-08-14T12:26:49.325863,29.50
2018-08-14T12:26:52.234498,29.50
2018-08-14T12:26:55.134362,29.50
2018-08-14T12:26:58.043008,29.50
2018-08-14T12:27:00.947004,29.50
2018-08-14T12:27:03.855070,29.50
2018-08-14T12:27:06.759482,29.50
2018-08-14T12:27:09.667929,29.50
