datetime,temp
2018-08-14T14:27:46.517726,30.80
2018-08-14T14:27:49.422277,30.80
2018-08-14T14:27:52.328340,30.80
2018-08-14T14:27:55.232760,30.70
2018-08-14T14:27:58.137185,30.70
2018-08-14T14:28:01.040325,30.70
2018-08-14T14:28:03.946437,30.70
2018-08-14T14:28:06.850686,30.70
2018-08-14T14:28:09.753306,30.60
2018-08-14T14:28:12.656395,30.60
2018-08-14T14:28:15.559363,30.60
2018-08-14T14:28:18.467463,30.50
2018-08-14T14:28:21.375184,30.50
2018-08-14T14:28:24.279602,30.50
2018-08-14T14:28:27.184180,30.50
2018-08-14T14:28:30.092135,30.40
2018-08-14T14:28:33.000033,30.40
2018-08-14T14:28:35.904567,30.40
2018-08-14T14:28:38.809127,30.40
2018-08-14T14:28:41.713098,30.30
2018-08-14T14:28:44.615954,30.30
2018-08-14T14:28:47.525090,30.30
2018-08-14T14:28:50.426890,30.30
2018-08-14T14:28:53.329756,30.20
2018-08-14T14:28:56.233204,30.20
2018-08-14T14:28:59.140292,30.20
2018-08-14T14:29:02.045365,30.20
2018-08-14T14:29:04.952432,30.20
2018-08-14T14:29:07.858874,30.20
2018-08-14T14:29:10.761202,30.10
2018-08-14T14:29:13.662576,30.10
2018-08-14T14:29:16.574350,30.10
2018-08-14T14:29:19.477949,30.10
2018-08-14T14:29:22.382754,30.10
2018-08-14T14:29:25.287580,30.10
2018-08-14T14:29:28.188939,30.10
2018-08-14T14:29:31.105885,30.00
2018-08-14T14:29:34.011024,30.00
2018-08-14T14:29:36.930802,30.00
2018-08-14T14:29:39.835889,29.90
2018-08-14T14:29:42.741118,30.00
2018-08-14T14:29:45.642188,29.90
2018-08-14T14:29:48.549316,29.90
2018-08-14T14:29:51.449789,29.90
2018-08-14T14:29:54.351204,29.90
2018-08-14T14:29:57.250533,29.90
2018-08-14T14:30:00.153772,29.90
2018-08-14T14:30:03.057060,29.90
2018-08-14T14:30:04.060127,29.90
2018-08-14T14:30:06.961369,29.80
2018-08-14T14:30:09.860704,29.80
2018-08-14T14:30:12.765428,29.80
2018-08-14T14:30:15.677097,29.80
2018-08-14T14:30:18.576364,29.80
2018-08-14T14:30:21.482266,29.80
2018-08-14T14:30:24.384032,29.80
2018-08-14T14:30:27.290396,29.70
2018-08-14T14:30:30.190700,29.70
2018-08-14T14:30:33.094139,29.70
2018-08-14T14:30:34.097134,29.70
2018-08-14T14:30:36.997982,29.70
2018-08-14T14:30:39.902352,29.70
2018-08-14T14:30:42.806633,29.70
2018-08-14T14:30:45.708279,29.70
2018-08-14T14:30:48.618690,29.70
2018-08-14T14:30:51.517034,29.70
2018-08-14T14:30:52.532480,29.70
2018-08-14T14:30:55.438437,29.70
2018-08-14T14:30:58.339639,29.70
2018-08-14T14:31:01.246934,29.70
2018-08-14T14:31:04.151673,29.70
2018-08-14T14:31:07.055187,29.60
2018-08-14T14:31:09.960300,29.60
2018-08-14T14:31:12.864382,29.60
2018-08-14T14:31:15.767029,29.60
2018-08-14T14:31:18.672499,29.60
2018-08-14T14:31:21.577366,29.60
2018-08-14T14:31:22.585134,29.60
2018-08-14T14:31:25.481354,29.60
2018-08-14T14:31:28.391967,29.60
2018-08-14T14:31:29.400349,29.60
2018-08-14T14:31:32.333128,29.60
2018-08-14T14:31:35.232371,29.60
2018-08-14T14:31:38.130749,29.50
2018-08-14T14:31:41.034956,29.60
2018-08-14T14:31:43.950898,29.60
2018-08-14T14:31:46.857378,29.50
2018-08-14T14:31:49.765571,29.60
2018-08-14T14:31:52.663693,29.60
2018-08-14T14:31:55.569808,29.50
2018-08-14T14:31:58.470147,29.50
2018-08-14T14:32:01.370230,29.50
2018-08-14T14:32:04.273036,29.50
2018-08-14T14:32:07.178518,29.50
2018-08-14T14:32:10.086640,29.50
2018-08-14T14:32:12.990538,29.50
2018-08-14T14:32:15.895465,29.50
2018-08-14T14:32:18.814342,29.50
2018-08-14T14:32:21.712403,29.50
2018-08-14T14:32:24.613027,29.50
2018-08-14T14:32:27.515405,29.50
2018-08-14T14:32:30.420160,29.50
2018-08-14T14:32:33.356359,29.50
2018-08-14T14:32:36.257029,29.50
2018-08-14T14:32:39.160916,29.50
2018-08-14T14:32:43.965567,29.50
2018-08-14T14:32:46.869499,29.50
2018-08-14T14:32:49.769731,29.50
2018-08-14T14:32:52.672440,29.50
2018-08-14T14:32:55.576353,29.40
2018-08-14T14:32:58.481144,29.40
2018-08-14T14:33:01.390649,29.40
2018-08-14T14:33:04.293759,29.40
2018-08-14T14:33:07.197452,29.40
2018-08-14T14:33:10.103342,29.40
2018-08-14T14:33:13.006567,29.40
2018-08-14T14:33:14.014114,29.40
2018-08-14T14:33:16.918936,29.40
2018-08-14T14:33:19.818790,29.40
2018-08-14T14:33:22.717373,29.40
2018-08-14T14:33:25.621410,29.40
2018-08-14T14:33:28.526793,29.40
2018-08-14T14:33:31.428291,29.40
2018-08-14T14:33:32.436938,29.40
2018-08-14T14:33:35.337525,29.40
2018-08-14T14:33:38.239536,29.40
2018-08-14T14:33:41.143065,29.40
2018-08-14T14:33:44.049298,29.40
2018-08-14T14:33:46.968061,29.40
2018-08-14T14:33:49.884099,29.40
